"Rank","Player","Team","Position","Points","Games","Avg"
"1","Lamar Jackson","BAL","QB","421.7","15","28.1"
"2","Christian McCaffrey","CAR","RB","413.2","16","25.8"
"6","Deshaun Watson","HOU","QB","332.5","15","22.2"
"3","Dak Prescott","DAL","QB","348.9","16","21.8"
"79","Matthew Stafford","DET","QB","171.5","8","21.4"
"4","Jameis Winston","NO","QB","335.2","16","21.0"
"10","Patrick Mahomes","KC","QB","291.9","14","20.9"
"5","Russell Wilson","SEA","QB","333.5","16","20.8"
"33","Drew Brees","NO","QB","228.8","11","20.8"
"31","Ryan Tannehill","TEN","QB","230.2","12","19.2"
"12","Derrick Henry","TEN","RB","285.6","15","19.0"
"18","Dalvin Cook","MIN","RB","265.9","14","19.0"
"7","Michael Thomas","NO","WR","300.1","16","18.8"
"16","Matt Ryan","ATL","QB","281.4","15","18.8"
"8","Josh Allen","BUF","QB","297.5","16","18.6"
"9","Kyler Murray","ARI","QB","297.3","16","18.6"
"11","Aaron Jones","GB","RB","290.3","16","18.1"
"13","Ezekiel Elliott","DAL","RB","284.7","16","17.8"
"14","Carson Wentz","PHI","QB","282.9","16","17.7"
"15","Aaron Rodgers","GB","QB","282.3","16","17.6"
"34","Daniel Jones","NYG","QB","226.9","13","17.5"
"17","Tom Brady","TB","QB","271.6","16","17.0"
"23","Ryan Fitzpatrick","MIA","QB","254.7","15","17.0"
"29","Gardner Minshew II","JAC","QB","235.3","14","16.8"
"39","Saquon Barkley","NYG","RB","218.1","13","16.8"
"25","Kirk Cousins","MIN","QB","250.4","15","16.7"
"30","Chris Godwin","TB","WR","233.1","14","16.7"
"41","Andy Dalton","DAL","QB","217.0","13","16.7"
"19","Jared Goff","LAR","QB","263.5","16","16.5"
"20","Austin Ekeler","LAC","RB","263.0","16","16.4"
"21","Jimmy Garoppolo","SF","QB","260.2","16","16.3"
"22","Philip Rivers","IND","QB","255.5","16","16.0"
"24","Derek Carr","LV","QB","252.5","16","15.8"
"26","Baker Mayfield","CLE","QB","250.3","16","15.6"
"54","Sam Darnold","NYJ","QB","202.1","13","15.6"
"281","Jeff Driskel","DEN","QB","61.7","4","15.4"
"32","Mark Ingram II","BAL","RB","229.5","15","15.3"
"55","Mike Evans","TB","WR","199.2","13","15.3"
"445","Wes Hills","FA","RB","15.2","1","15.2"
"35","Julio Jones","ATL","WR","224.6","15","15.0"
"37","Jacoby Brissett","IND","QB","223.2","15","14.9"
"47","Alvin Kamara","NO","RB","208.0","14","14.9"
"27","Nick Chubb","CLE","RB","237.2","16","14.8"
"28","New England Patriots","NE","DST","236.0","16","14.8"
"38","Leonard Fournette","JAC","RB","221.4","15","14.8"
"291","Eli Manning","FA","QB","59.3","4","14.8"
"40","DeAndre Hopkins","ARI","WR","217.5","15","14.5"
"43","Chris Carson","SEA","RB","214.1","15","14.3"
"80","Davante Adams","GB","WR","171.2","12","14.3"
"44","Mitch Trubisky","CHI","QB","212.8","15","14.2"
"255","Drew Lock","DEN","QB","71.1","5","14.2"
"450","Antonio Brown","FA","WR","14.1","1","14.1"
"36","Cooper Kupp","LAR","WR","223.5","16","14.0"
"68","Josh Jacobs","LV","RB","181.6","13","14.0"
"59","Kyle Allen","WAS","QB","193.4","14","13.8"
"53","Todd Gurley","ATL","RB","203.9","15","13.6"
"42","Kenny Golladay","DET","WR","215.5","16","13.5"
"62","Kenyan Drake","ARI","RB","189.2","14","13.5"
"91","Melvin Gordon","DEN","RB","159.8","12","13.3"
"92","Tyreek Hill","KC","WR","159.3","12","13.3"
"45","DeVante Parker","MIA","WR","210.2","16","13.1"
"46","Keenan Allen","LAC","WR","209.5","16","13.1"
"48","Joe Mixon","CIN","RB","207.9","16","13.0"
"49","Amari Cooper","DAL","WR","207.0","16","12.9"
"50","Julian Edelman","NE","WR","206.3","16","12.9"
"51","Allen Robinson","CHI","WR","205.9","16","12.9"
"52","Travis Kelce","KC","TE","205.8","16","12.9"
"71","George Kittle","SF","TE","180.0","14","12.9"
"134","James Conner","PIT","RB","128.5","10","12.9"
"72","Michael Gallup","DAL","WR","179.7","14","12.8"
"83","Calvin Ridley","ATL","WR","165.5","13","12.7"
"61","D.J. Chark","JAC","WR","189.3","15","12.6"
"63","Robert Woods","LAR","WR","187.9","15","12.5"
"64","D.J. Moore","CAR","WR","187.0","15","12.5"
"76","Marlon Mack","IND","RB","174.3","14","12.5"
"88","Marvin Jones","DET","WR","162.9","13","12.5"
"219","Marcus Mariota","LV","QB","87.1","7","12.4"
"66","John Brown","BUF","WR","183.8","15","12.3"
"56","Jarvis Landry","CLE","WR","195.9","16","12.2"
"285","David Blough","DET","QB","60.9","5","12.2"
"57","Tyler Lockett","SEA","WR","194.2","16","12.1"
"58","Miles Sanders","PHI","RB","193.7","16","12.1"
"67","Le'Veon Bell","NYJ","RB","182.0","15","12.1"
"69","Stefon Diggs","BUF","WR","180.6","15","12.0"
"81","Devonta Freeman","FA","RB","168.1","14","12.0"
"60","A.J. Brown","TEN","WR","191.1","16","11.9"
"98","Austin Hooper","CLE","TE","154.2","13","11.9"
"151","Mason Rudolph","PIT","QB","117.8","10","11.8"
"65","Courtland Sutton","DEN","WR","186.4","16","11.7"
"75","Mark Andrews","BAL","TE","175.2","15","11.7"
"88","Terry McLaurin","WAS","WR","162.9","14","11.6"
"135","Golden Tate","NYG","WR","127.7","11","11.6"
"201","Younghoe Koo","ATL","K","93.0","8","11.6"
"138","Damien Williams","KC","RB","126.1","11","11.5"
"356","Brandon Allen","CIN","QB","34.5","3","11.5"
"78","Zach Ertz","PHI","TE","171.6","15","11.4"
