ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.01,1.3,Christian McCaffrey,RB,CAR,190,0.5,1,3,13
1.02,2.2,Saquon Barkley,RB,NYG,87,0.6,1,3,11
1.03,2.8,Ezekiel Elliott,RB,DAL,117,0.6,1,5,10
1.04,4.5,Alvin Kamara,RB,NO,152,0.8,2,7,6
1.05,5.1,Michael Thomas,WR,NO,130,1.0,3,8,6
1.06,6.3,Derrick Henry,RB,TEN,119,1.1,3,10,7
1.07,6.6,Dalvin Cook,RB,MIN,230,1.3,3,11,7
1.08,8.2,Davante Adams,WR,GB,81,1.9,4,15,5
1.09,9.0,Josh Jacobs,RB,LV,129,1.8,4,15,6
1.10,9.9,DeAndre Hopkins,WR,ARI,49,2.8,2,16,8
2.01,11.3,Joe Mixon,RB,CIN,148,2.3,6,17,9
2.01,11.4,Tyreek Hill,WR,KC,91,2.4,6,18,10
2.03,13.2,Nick Chubb,RB,CLE,165,3.5,4,23,9
2.03,13.3,Aaron Jones,RB,GB,111,2.7,6,18,5
2.05,14.5,Lamar Jackson,QB,BAL,81,3.2,6,22,8
2.05,15.2,Julio Jones,WR,ATL,209,2.6,8,22,10
2.06,16.2,Pat Mahomes,QB,KC,107,4.3,5,26,10
2.07,16.7,Miles Sanders,RB,PHI,338,3.7,7,27,9
2.08,18.1,Chris Godwin,WR,TB,117,2.7,11,28,13
2.09,19.1,Travis Kelce,TE,KC,134,3.3,10,27,10
3.01,21.5,George Kittle,TE,SF,128,3.1,13,29,11
3.03,22.7,Mike Evans,WR,TB,85,3.2,14,29,13
3.03,22.8,Leonard Fournette,RB,JAX,72,4.4,11,35,7
3.04,23.7,Kenny Golladay,WR,DET,107,3.0,16,31,5
3.05,24.8,Austin Ekeler,RB,LAC,273,3.7,15,35,10
3.05,25.5,Amari Cooper,WR,DAL,79,3.2,17,36,10
3.06,26.1,Adam Thielen,WR,MIN,100,3.3,19,36,7
3.07,27.2,LeVeon Bell,RB,NYJ,101,3.8,18,39,11
3.08,28.4,Chris Carson,RB,SEA,97,3.9,18,35,6
3.09,29.2,Cooper Kupp,WR,LAR,70,3.4,21,39,9
3.09,29.3,Kenyan Drake,RB,ARI,344,5.7,14,42,8
4.01,31.0,Melvin Gordon,RB,DEN,75,4.1,20,41,8
4.02,31.7,Devin Singletary,RB,BUF,71,4.6,19,40,11
4.04,33.9,Allen Robinson,WR,CHI,201,3.8,23,43,11
4.05,35.3,Clyde Edwards-Helaire,RB,KC,556,16.9,1,65,10
4.05,35.3,James Conner,RB,PIT,127,3.8,25,46,8
4.05,35.4,Calvin Ridley,WR,ATL,152,4.2,24,44,10
4.06,35.6,Zach Ertz,TE,PHI,35,4.1,28,51,9
4.08,37.8,T.Y. Hilton,WR,IND,74,3.9,28,47,7
4.09,38.7,Mark Andrews,TE,BAL,93,5.1,28,49,8
4.09,39.2,Courtland Sutton,WR,DEN,87,4.4,30,58,8
4.10,40.2,D.J. Moore,WR,CAR,195,6.2,24,56,13
5.01,41.2,A.J. Brown,WR,TEN,126,4.6,31,55,7
5.03,42.8,Keenan Allen,WR,LAC,73,4.9,29,56,10
5.03,43.1,Mark Ingram,RB,BAL,109,4.9,30,56,8
5.04,43.9,Stefon Diggs,WR,BUF,73,4.4,34,55,11
5.04,44.2,Dak Prescott,QB,DAL,45,10.0,18,70,10
5.04,44.4,D.K. Metcalf,WR,SEA,129,4.8,32,56,6
5.07,46.8,Deshaun Watson,QB,HOU,43,9.4,22,59,8
5.07,47.0,Tyler Lockett,WR,SEA,136,4.8,34,60,6
5.08,47.6,David Johnson,RB,HOU,155,7.1,30,61,8
5.10,49.7,David Montgomery,RB,CHI,99,6.0,34,60,11
6.01,50.7,D.J. Chark,WR,JAX,113,4.8,40,68,7
6.01,51.1,Deebo Samuel,WR,SF,17,9.4,40,83,11
6.02,52.3,Darren Waller,TE,LV,49,7.8,31,66,6
6.02,52.4,Odell Beckham Jr,WR,CLE,327,7.6,32,81,9
6.03,52.5,Robert Woods,WR,LAR,209,6.7,35,69,9
6.05,54.6,Kyler Murray,QB,ARI,102,9.1,31,68,8
6.06,56.1,Marlon Mack,RB,IND,43,6.8,38,66,7
6.07,57.1,Russell Wilson,QB,SEA,123,7.3,38,79,6
7.02,61.7,A.J. Green,WR,CIN,139,8.7,39,82,9
7.02,61.8,Todd Gurley,RB,ATL,264,11.2,32,81,10
7.04,64.1,Hunter Henry,TE,LAC,30,5.0,50,73,10
7.04,64.4,Jarvis Landry,WR,CLE,69,8.8,47,84,9
7.06,65.8,JuJu Smith-Schuster,WR,PIT,423,9.6,40,87,8
7.06,66.2,Terry McLaurin,WR,WAS,238,7.7,46,87,8
7.06,66.2,Kerryon Johnson,RB,DET,35,7.1,54,79,5
7.06,66.4,Evan Engram,TE,NYG,88,17.7,20,108,11
7.07,66.6,Michael Gallup,WR,DAL,70,7.7,50,83,10
7.07,67.2,Matt Ryan,QB,ATL,39,5.1,54,83,10
7.08,68.4,Marquise Brown,WR,BAL,193,11.6,38,87,8
7.09,69.2,Raheem Mostert,RB,SF,159,8.3,47,91,11
7.09,69.3,Jonathan Taylor,RB,IND,218,15.4,29,90,7
8.03,73.5,Kareem Hunt,RB,CLE,113,8.0,52,89,9
8.05,75.5,DeVante Parker,WR,MIA,153,7.2,56,88,11
8.06,75.8,Tyler Boyd,WR,CIN,84,7.6,55,86,9
8.06,76.4,Josh Allen,QB,BUF,45,7.1,63,89,11
